stock_code,type,name,support_bottom,support_top
1301,tse,台塑,50.90,51.60
1304,tse,台聚,16.10,16.30
1305,tse,華夏,16.65,16.95
1308,tse,亞聚,17.55,17.60
1309,tse,台達化,23.20,24.10
1310,tse,台苯,11.60,11.70
1312,tse,國喬,14.25,14.80
1313,tse,聯成,13.05,13.15
1314,tse,中石化,8.83,8.88
1326,tse,台化,48.50,48.65
1434,tse,福懋,17.25,17.45
1503,tse,士電,224.00,225.00
1504,tse,東元,89.30,89.40
1513,tse,中興電,158.00,158.50
1514,tse,亞力,123.00,124.00
1519,tse,華城,830.00,834.00
1528,tse,恩德,27.60,27.80
1605,tse,華新,43.30,44.35
1608,tse,華榮,39.70,39.75
1708,tse,東鹼,42.50,43.20
1710,tse,東聯,14.40,14.65
1712,tse,興農,46.45,46.65
1714,tse,和桐,9.81,9.93
1718,tse,中纖,7.65,7.67
1721,tse,三晃,29.30,29.95
1785,otc,光洋科,167.50,180.00
1795,tse,美時,316.00,322.00
1815,otc,富喬,115.50,116.00
1904,tse,正隆,19.90,20.10
1905,tse,華紙,12.75,12.85
2006,tse,東和鋼鐵,65.60,66.10
2009,tse,第一銅,50.40,51.10
2010,tse,春源,23.30,23.35
2014,tse,中鴻,18.80,19.00
2030,tse,彰源,17.20,17.25
2103,tse,台橡,20.15,20.30
2104,tse,國際中橡,12.70,13.05
2208,tse,台船,22.95,23.00
2314,tse,台揚,16.00,16.05
2323,tse,中環,10.80,10.85
2324,tse,仁寶,31.55,31.75
2329,tse,華泰,62.40,62.50
2331,tse,精英,28.50,28.80
2340,tse,台亞,39.60,39.90
2342,tse,茂矽,42.40,43.60
2349,tse,錸德,15.00,15.60
2367,tse,燿華,75.00,76.00
2369,tse,菱生,32.65,33.05
2374,tse,佳能,88.70,88.90
2406,tse,國碩,31.85,32.40
2417,tse,圓剛,52.50,53.60
2419,tse,仲琦,33.15,33.25
2440,tse,太空梭,18.05,18.55
2457,tse,飛宏,32.10,32.25
2461,tse,光群雷,17.50,17.65
2485,tse,兆赫,78.70,82.00
2493,tse,揚博,141.50,142.00
2501,tse,國建,22.85,23.15
2515,tse,中工,15.20,15.40
2605,tse,新興,37.70,38.20
2612,tse,中航,63.60,64.50
2614,tse,東森,22.50,22.75
2634,tse,漢翔,52.80,54.20
2801,tse,彰銀,20.50,20.70
2834,tse,臺企銀,16.15,16.20
2836,tse,高雄銀,12.40,12.45
2867,tse,三商壽,7.89,7.91
2884,tse,玉山金,33.20,33.55
2889,tse,國票金,17.05,17.25
2892,tse,第一金,29.60,29.80
2903,tse,遠百,22.30,22.45
3025,tse,星通,72.90,76.30
3044,tse,健鼎,506.00,513.00
3049,tse,精金,13.25,13.35
3060,tse,銘異,31.80,32.75
3062,tse,建漢,30.35,30.70
3066,otc,李洲,21.35,21.40
3093,otc,港建*,66.50,66.60
3138,tse,耀登,192.00,195.50
3162,otc,精確,90.30,91.30
3260,otc,威剛,461.50,482.00
3322,otc,建舜電,14.95,15.00
3324,otc,雙鴻,1140.00,1155.00
3372,otc,典範,24.60,24.80
3380,tse,明泰,36.25,36.65
3388,otc,崇越電,115.00,115.50
3504,tse,揚明光,83.50,86.00
3518,tse,柏騰,37.00,37.55
3532,tse,台勝科,250.00,250.50
3535,tse,晶彩科,133.00,134.00
3543,tse,州巧,48.00,48.20
3551,otc,世禾,214.00,217.00
3576,tse,聯合再生,22.70,24.25
3583,tse,辛耘,895.00,952.00
3691,otc,碩禾,150.00,152.50
3701,tse,大眾控,65.00,66.10
4123,otc,晟德,44.20,44.55
4142,tse,國光生,19.85,20.10
4157,otc,太景*-KY,15.00,15.20
4533,otc,協易機,37.85,38.20
4564,tse,元翎,20.50,21.05
4707,otc,磐亞,15.75,15.95
4720,tse,德淵,26.85,26.95
4755,tse,三福化,160.50,166.50
4768,otc,晶呈科技,536.00,555.00
4772,otc,台特化,372.00,375.00
4903,otc,聯光通,47.80,48.15
4934,tse,太極,17.65,17.70
4967,tse,十銓,279.00,288.50
5392,otc,能率,49.75,49.90
5452,otc,佶優,36.60,36.85
5469,tse,瀚宇博,97.40,97.50
5521,tse,工信,22.05,22.45
6015,otc,宏遠證,16.55,16.75
6108,tse,競國,19.80,20.15
6126,otc,信音,36.50,36.90
6152,tse,百一,19.85,20.05
6153,tse,嘉聯益,19.55,19.60
6163,otc,華電網,67.00,67.50
6164,tse,華興,12.80,12.85
6191,tse,精成科,113.50,114.50
6205,tse,詮欣,88.60,89.10
6213,tse,聯茂,275.00,276.50
6226,tse,光鼎,13.35,13.50
6244,otc,茂迪,32.05,33.90
6269,tse,台郡,67.50,69.10
6443,tse,元晶,40.35,40.95
6485,otc,點序,115.00,116.00
6505,tse,台塑化,59.40,59.80
6547,otc,高端疫苗,55.80,56.10
6548,otc,長科*,56.90,58.60
6552,tse,易華電,31.80,31.95
6664,otc,群翊,436.00,439.00
6672,tse,騰輝電子-KY,206.00,210.50
6698,tse,旭暉應材,34.40,34.55
6753,tse,龍德造船,134.50,135.50
6770,tse,力積電,68.60,69.50
6789,tse,采鈺,580.00,593.00
6821,otc,聯寶,65.40,66.30
6862,tse,三集瑞-KY,200.00,207.00
6937,tse,天虹,327.00,328.00
8033,tse,雷虎,157.00,158.00
8054,otc,安國,146.50,151.50
8070,tse,長華*,47.80,48.15
8110,tse,華東,49.25,51.70
8111,otc,立碁,68.60,69.50
8131,tse,福懋科,69.00,72.00
8249,tse,菱光,61.50,61.70
8431,otc,匯鑽科,67.20,69.90
